date,title,amount
2026-01-02,Internet Fibra Max,-103.04
2026-01-05,Cafe do Centro,-148.20
2026-01-05,Auto Pecas Guaxupe,-178.94
2026-01-07,Energia Eletrica Cemig,-151.37
2026-01-07,Supermercado Central,-26.07
2026-01-09,Padaria Sabor & Cia,-51.31
2026-01-09,Apps e Games Store,-44.91
2026-01-11,Uber Viagem,-54.48
2026-01-13,Padaria Sabor & Cia,-222.68
2026-01-15,Academia Movimento,-92.07
2026-01-17,Seguro Auto Mensal,-110.40
2026-01-18,App Mobilidade Urb,-63.64
2026-01-23,Pet Shop Amigo,-151.37
2026-01-27,Supermercado Central,-148.20
2026-01-27,Livraria Horizonte,-201.98
2026-01-27,Assinatura Musica,-32.41
2026-01-28,Farmacia Vida,-92.07
2026-01-30,Cinema Plaza,-44.97
2026-02-02,Lanchonete Estacao,-210.00
2026-02-03,Loja Casa e Conforto,-69.98
2026-02-08,Papelaria Alfa,-219.51
2026-02-11,Transferencia enviada PIX Maria,-210.00
2026-02-18,Posto Avenida,-139.41
2026-02-20,Mercado Bairro Sul,-86.88
2026-02-23,Loja de Roupas Bella,-182.11
2026-02-23,Farmacia Vida,-63.64
2026-02-25,Streaming Plus,-63.64
2026-02-25,Feira Organica Sabado,-133.07
2026-02-26,Curso Online Dev,-216.34
2026-03-04,Restaurante Vila,-35.58
2026-03-09,Loja Esportes Run,-48.14
2026-03-12,Clinica Odonto,-123.08
2026-03-12,iFood Pedido,-110.40
2026-03-12,Restaurante Vila,-74.20
2026-03-14,Transferencia enviada PIX Joao,-86.88
2026-03-17,Eletronicos Smart,-26.07
2026-03-19,Posto Avenida,-116.74
2026-03-19,Clube Assinatura,-106.21
2026-03-19,Agua Saneamento,-157.71
2026-03-22,Academia Movimento,-110.40
2026-03-22,Material Construcao Forte,-88.90
2026-03-28,Transferencia enviada PIX Aluguel,-92.07
